regime,held_out_university,target_kind,pctl,layer,model,best_rule_name,best_rule_lift_top10,beats_best_rule,meets_2x,sufficient,n,n_pos,base_rate,prec_top5,prec_top10,recall_top10,lift_top5,lift_top10,capture_top10,pr_auc,roc_auc,brier,target,n_train,train_base_rate,lift_top10_ci_lo,lift_top10_ci_hi,capture_top10_ci_lo,capture_top10_ci_hi,lift_rule_upm_count_prevyear,lift_rule_upm_cost_prevyear,lift_rule_upm_labour_prevyear,lift_rule_trend_up_ppm_down
louo,1,severity_labour,90,M1,gbdt,rule_upm_count_prevyear,6.903661593780861,True,True,True,28273,1564,0.05531779436211226,0.6152758132956153,0.40381895332390383,0.7301790281329923,11.12256590109139,7.2999829074979115,0.7301790281329923,0.6176756115715866,0.9263758856344964,0.09882055556017015,severity_labour,486702,0.02693640050790833,6.914591403914877,7.695021033714722,0.6916554008293739,0.7696115235108199,6.903661593780861,6.88448475602036,6.858915639006357,3.975997695677496
louo,1,severity_labour,90,M1,logreg,rule_upm_count_prevyear,6.903661593780861,True,True,True,28273,1564,0.05531779436211226,0.5919377652050919,0.4055869872701556,0.7333759590792839,10.700675470360334,7.331944303765415,0.7333759590792839,0.5906621273278478,0.9192663200877047,0.1377183354766707,severity_labour,486702,0.02693640050790833,6.8216898483854695,7.618817450016752,0.6823764839908862,0.762075564778101,6.903661593780861,6.88448475602036,6.858915639006357,3.975997695677496
louo,1,severity_labour,90,M1_nosys,gbdt,rule_upm_count_prevyear,6.903661593780861,True,True,True,28273,1564,0.05531779436211226,0.6145685997171145,0.4034653465346535,0.729539641943734,11.109781342584386,7.293590628244411,0.729539641943734,0.6081304917148246,0.9266867572153759,0.1019980579202794,severity_labour,486702,0.02693640050790833,6.860518056237526,7.623569021550942,0.6860571185369793,0.7625010451505017,6.903661593780861,6.88448475602036,6.858915639006357,3.975997695677496
louo,1,severity_labour,90,M1_nosys,logreg,rule_upm_count_prevyear,6.903661593780861,True,True,True,28273,1564,0.05531779436211226,0.5785007072135785,0.39427157001414426,0.7129156010230179,10.457768858727306,7.12739136765339,0.7129156010230179,0.5723338890406298,0.9176729057391213,0.1423287472211,severity_labour,486702,0.02693640050790833,6.638489221655408,7.508683162146609,0.664003641598916,0.7510219774926568,6.903661593780861,6.88448475602036,6.858915639006357,3.975997695677496
louo,2,occurrence,75,M0,gbdt,rule_upm_count_prevyear,2.9152210997618315,True,True,True,15869,4953,0.3121179658453589,0.9609571788413098,0.9269061121613107,0.29699172218857256,3.078826866754037,2.969730081544082,0.29699172218857256,0.7661986457626577,0.8503429303980687,0.1643688522079604,occurrence,499106,0.28922513454055854,2.766059414290142,3.186623866331153,0.27666880234029545,0.31874395465306155,2.9152210997618315,2.4710738407953476,2.513469715514876,2.176321568935772
louo,2,occurrence,75,M0,logreg,rule_upm_count_prevyear,2.9152210997618315,True,True,True,15869,4953,0.3121179658453589,0.9496221662468514,0.9130434782608695,0.29254996971532404,3.042510429269389,2.925315355647433,0.29254996971532404,0.7551147024057119,0.8459618434537862,0.16357975407207873,occurrence,499106,0.28922513454055854,2.7233132413078946,3.147725933749666,0.27236495270712185,0.31479645408912227,2.9152210997618315,2.4710738407953476,2.513469715514876,2.176321568935772
louo,2,occurrence,75,M1,gbdt,rule_upm_count_prevyear,2.9152210997618315,True,True,True,15869,4953,0.3121179658453589,0.9622166246851386,0.923755513547574,0.295982232990107,3.0828620264745537,2.95963582565848,0.295982232990107,0.7651389825105214,0.851806930178489,0.16087105835370044,occurrence,499106,0.28922513454055854,2.755592241723034,3.1685882388496482,0.2755912800585818,0.31688123056048934,2.9152210997618315,2.4710738407953476,2.513469715514876,2.176321568935772
louo,2,occurrence,75,M1,logreg,rule_upm_count_prevyear,2.9152210997618315,True,True,True,15869,4953,0.3121179658453589,0.9521410579345088,0.9161940768746062,0.2935594589137896,3.0505807487104217,2.9354096115330357,0.2935594589137896,0.7569007831801359,0.8467699711846135,0.16241206059393265,occurrence,499106,0.28922513454055854,2.721621579749253,3.151623489149709,0.27219381879812915,0.3152528511875722,2.9152210997618315,2.4710738407953476,2.513469715514876,2.176321568935772
louo,2,occurrence,75,M1_nosys,gbdt,rule_upm_count_prevyear,2.9152210997618315,True,True,True,15869,4953,0.3121179658453589,0.9609571788413098,0.9212350346565847,0.29517464163133456,3.078826866754037,2.9515604209499986,0.29517464163133456,0.7640431183344082,0.8511934407690258,0.16163882167197416,occurrence,499106,0.28922513454055854,2.7471783669633507,3.1628634785366363,0.27474979478669626,0.3163313484609718,2.9152210997618315,2.4710738407953476,2.513469715514876,2.176321568935772
louo,2,occurrence,75,M1_nosys,logreg,rule_upm_count_prevyear,2.9152210997618315,True,True,True,15869,4953,0.3121179658453589,0.9521410579345088,0.9124133585381222,0.29234807187563094,3.0505807487104217,2.923296504470313,0.29234807187563094,0.7525514751764262,0.8412620590309628,0.16330558864230738,occurrence,499106,0.28922513454055854,2.7211759305654026,3.1432810865658434,0.2721510414206076,0.3143954455846055,2.9152210997618315,2.4710738407953476,2.513469715514876,2.176321568935772
louo,2,severity_labour,75,M0,gbdt,rule_upm_count_prevyear,4.7529319818709155,False,True,False,15869,1702,0.10725313504316591,0.654911838790932,0.499054820415879,0.46533490011750883,6.106225599161751,4.653055784476842,0.46533490011750883,0.4941047322483822,0.8426941692752317,0.10980433161474631,severity_labour,499106,0.06780723934394697,4.328734116495114,5.028290697349336,0.4329524373622526,0.5031029537780733,4.7529319818709155,4.259426065335493,4.371052403599458,3.0315363444318817
louo,2,severity_labour,75,M0,logreg,rule_upm_count_prevyear,4.7529319818709155,False,True,False,15869,1702,0.10725313504316591,0.6586901763224181,0.4952741020793951,0.4618096357226792,6.1414538237722995,4.617805361867169,0.4618096357226792,0.48376021115111484,0.828871704712222,0.11506885177412399,severity_labour,499106,0.06780723934394697,4.2783652131224486,4.911180144987805,0.42797322691187795,0.4912168445051312,4.7529319818709155,4.259426065335493,4.371052403599458,3.0315363444318817
louo,2,severity_labour,75,M1,gbdt,rule_upm_count_prevyear,4.7529319818709155,True,True,True,15869,1702,0.10725313504316591,0.6662468513853904,0.5192186515437933,0.48413631022326675,6.211910272993396,4.841058038395098,0.48413631022326675,0.5168885260167333,0.8530283216395461,0.11801631519142826,severity_labour,499106,0.06780723934394697,4.494642968187941,5.189801946663884,0.4495778766687858,0.5190806868698608,4.7529319818709155,4.259426065335493,4.371052403599458,3.0315363444318817
louo,2,severity_labour,75,M1,logreg,rule_upm_count_prevyear,4.7529319818709155,False,True,False,15869,1702,0.10725313504316591,0.5856423173803527,0.49401386263390046,0.4606345475910693,5.460374814635028,4.606055220997278,0.4606345475910693,0.43782513142790386,0.8345600204443935,0.1312901001960624,severity_labour,499106,0.06780723934394697,4.221345674793349,4.985985113389756,0.422346781129622,0.4986372687381885,4.7529319818709155,4.259426065335493,4.371052403599458,3.0315363444318817
louo,2,severity_labour,75,M1_nosys,gbdt,rule_upm_count_prevyear,4.7529319818709155,True,True,True,15869,1702,0.10725313504316591,0.6649874055415617,0.5103969754253308,0.47591069330199764,6.200167531456547,4.758807052305861,0.47591069330199764,0.5162476392526234,0.8557730071796749,0.11695814887765127,severity_labour,499106,0.06780723934394697,4.424665645481909,5.183850450055085,0.44264315945047567,0.5186360297294961,4.7529319818709155,4.259426065335493,4.371052403599458,3.0315363444318817
louo,2,severity_labour,75,M1_nosys,logreg,rule_upm_count_prevyear,4.7529319818709155,False,True,False,15869,1702,0.10725313504316591,0.593198992443325,0.499054820415879,0.46533490011750883,5.530831263856125,4.653055784476842,0.46533490011750883,0.44450496340850515,0.8384721423987508,0.13456671512836194,severity_labour,499106,0.06780723934394697,4.255127287475798,5.013311335368788,0.42556552272876325,0.5015732681750908,4.7529319818709155,4.259426065335493,4.371052403599458,3.0315363444318817
louo,2,severity_labour,50,M0,gbdt,rule_upm_count_prevyear,4.216464333546568,True,True,True,15869,2630,0.16573193017833512,0.8236775818639799,0.7095148078134845,0.4281368821292776,4.96993899110247,4.28109904379931,0.4281368821292776,0.6198706937437076,0.8485259446324187,0.13405509337529214,severity_labour,499106,0.13426206056428894,3.9957629678016144,4.548467184389394,0.39957903053526117,0.4548797913908354,4.216464333546568,3.4902743536481053,3.5929294816965793,2.828719084002386
louo,2,severity_labour,50,M0,logreg,rule_upm_count_prevyear,4.216464333546568,True,True,True,15869,2630,0.16573193017833512,0.8148614609571788,0.7000630119722747,0.42243346007604565,4.9167439254484675,4.2240684171057135,0.42243346007604565,0.6008702752679925,0.839397252672927,0.13194622045950105,severity_labour,499106,0.13426206056428894,3.936670105644299,4.517286394045556,0.393711567611703,0.4519345998579489,4.216464333546568,3.4902743536481053,3.5929294816965793,2.828719084002386
louo,2,severity_labour,50,M1,gbdt,rule_upm_count_prevyear,4.216464333546568,True,True,True,15869,2630,0.16573193017833512,0.827455919395466,0.7120352867044738,0.4296577946768061,4.992736876382756,4.296307210917602,0.4296577946768061,0.6320499165011906,0.8605046818407535,0.1376732223612437,severity_labour,499106,0.13426206056428894,3.991944107892821,4.607059748189783,0.399410151048597,0.4609229010290095,4.216464333546568,3.4902743536481053,3.5929294816965793,2.828719084002386
louo,2,severity_labour,50,M1,logreg,rule_upm_count_prevyear,4.216464333546568,False,True,False,15869,2630,0.16573193017833512,0.7342569269521411,0.6685570258349086,0.40342205323193914,4.430389039469022,4.033966328127058,0.40342205323193914,0.5634571419084969,0.8392202350642199,0.14125255964061156,severity_labour,499106,0.13426206056428894,3.713436090403574,4.382028164704542,0.37150114199652307,0.4384080638124932,4.216464333546568,3.4902743536481053,3.5929294816965793,2.828719084002386
louo,2,severity_labour,50,M1_nosys,gbdt,rule_upm_count_prevyear,4.216464333546568,True,True,True,15869,2630,0.16573193017833512,0.8312342569269522,0.7057340894770007,0.42585551330798477,5.0155347616630435,4.258286793121872,0.42585551330798477,0.6282408662497284,0.8594069199280729,0.13686943726922055,severity_labour,499106,0.13426206056428894,3.9843201615686104,4.559624579352459,0.3985941338745408,0.45617525917951834,4.216464333546568,3.4902743536481053,3.5929294816965793,2.828719084002386
louo,2,severity_labour,50,M1_nosys,logreg,rule_upm_count_prevyear,4.216464333546568,False,True,False,15869,2630,0.16573193017833512,0.7380352644836272,0.6710775047258979,0.4049429657794677,4.453186924749308,4.049174495245351,0.4049429657794677,0.5664104861455791,0.840514285911225,0.14263197413712758,severity_labour,499106,0.13426206056428894,3.7323594666641227,4.339583456111427,0.3733922595922072,0.43399142653312794,4.216464333546568,3.4902743536481053,3.5929294816965793,2.828719084002386
louo,2,severity_labour,90,M0,gbdt,rule_upm_count_prevyear,5.238210601454876,False,True,False,15869,1069,0.06736404310290503,0.4269521410579345,0.3188405797101449,0.47333956969130025,6.337982718847861,4.7330974363145835,0.47333956969130025,0.35132613395574,0.8230696470558492,0.08167754274095798,severity_labour,499106,0.02737895356898134,4.366230440456471,5.176612240170565,0.436813499890423,0.5178406876391982,5.238210601454876,5.013715861392524,5.125963231423699,3.161634255878121
louo,2,severity_labour,90,M0,logreg,rule_upm_count_prevyear,5.238210601454876,False,True,False,15869,1069,0.06736404310290503,0.47984886649874053,0.3270321361058601,0.4855004677268475,7.123219515873259,4.854698753848358,0.4855004677268475,0.3832106687489727,0.8227796248072207,0.09802123298791297,severity_labour,499106,0.02737895356898134,4.433455605841707,5.182999703845402,0.4435064935064935,0.5184328606502834,5.238210601454876,5.013715861392524,5.125963231423699,3.161634255878121
louo,2,severity_labour,90,M1,gbdt,rule_upm_count_prevyear,5.238210601454876,True,True,True,15869,1069,0.06736404310290503,0.4811083123425693,0.35979836168872087,0.5341440598690365,7.141915630088151,5.341104023983454,0.5341440598690365,0.408637352586815,0.8487366318610472,0.0907703388400579,severity_labour,499106,0.02737895356898134,4.93114450201183,5.70742247447872,0.4933621354582539,0.570968882602546,5.238210601454876,5.013715861392524,5.125963231423699,3.161634255878121
louo,2,severity_labour,90,M1,logreg,rule_upm_count_prevyear,5.238210601454876,False,True,False,15869,1069,0.06736404310290503,0.43828715365239296,0.3484562066792691,0.5173058933582788,6.506247746781875,5.17273296893669,0.5173058933582788,0.3383961253306843,0.8349294301317219,0.11893905837385498,severity_labour,499106,0.02737895356898134,4.812244445958839,5.5443338690197725,0.48122444459588387,0.5546754826254826,5.238210601454876,5.013715861392524,5.125963231423699,3.161634255878121
