held_out_university,target_kind,pctl,model,frac,aug_rows,n,n_pos,base_rate,prec_top5,prec_top10,recall_top10,lift_top5,lift_top10,capture_top10,pr_auc,roc_auc,brier,layer,target,n_train,train_base_rate,lift_top10_ci_lo,lift_top10_ci_hi
5,severity_labour,75,gbdt,0.1,17546,129370,7385,0.057084331761613975,0.5645385685577369,0.37628507381927806,0.6591740013540961,9.889553773096063,6.591740013540962,0.6591740013540961,0.5468693690989427,0.904290266328793,0.05319811591181165,M1,severity_labour,369088,0.07193406450494191,6.357374722786074,6.824511264375635
5,severity_labour,75,gbdt,0.2,31876,129370,7417,0.05733168431630208,0.5654660689441954,0.37334776223235683,0.6512066873398948,9.863063952987805,6.512066873398949,0.6512066873398948,0.5386761025819742,0.900079042666929,0.05547222396132255,M1,severity_labour,383418,0.07173111330193158,6.249703013346504,6.758775099232868
5,severity_labour,75,logreg,0.0,0,129370,7257,0.05609492154286156,0.5943731643221518,0.39282677591404497,0.7002893757751136,10.59584625442425,7.002893757751137,0.7002893757751136,0.5878522081144626,0.9254901515446219,0.07157712365742858,M1,severity_labour,351542,0.07074830318994602,6.772258024987873,7.205306139620918
5,severity_labour,75,logreg,0.05,8651,129370,7328,0.05664373502357579,0.6034935847889936,0.3993197804746077,0.704967248908297,10.654198289322068,7.04967248908297,0.704967248908297,0.5950245443583917,0.9271811694515432,0.07068876608453853,M1,severity_labour,360193,0.07170877834938491,6.827045279278803,7.261207302168756
5,severity_labour,75,logreg,0.1,17546,129370,7385,0.057084331761613975,0.6110681712784047,0.4060446780551905,0.7113067027758971,10.704656644317836,7.11306702775897,0.7113067027758971,0.6008197593185272,0.928673003820325,0.07050708323067059,M1,severity_labour,369088,0.07193406450494191,6.8878425336869435,7.317654498864197
5,severity_labour,75,logreg,0.2,31876,129370,7417,0.05733168431630208,0.6121502550626062,0.40728144082863105,0.7103950384252393,10.67734643352425,7.103950384252393,0.7103950384252393,0.601471755548616,0.9290440705932149,0.07184220906943548,M1,severity_labour,383418,0.07173111330193158,6.875601694282194,7.302901680702786
5,occurrence,75,gbdt,0.0,0,129370,31812,0.24589935842931127,0.996289998454166,0.9769652933446703,0.39730290456431533,4.051616908714179,3.9730290456431536,0.39730290456431533,0.8536090619860282,0.9220162178969469,0.09225303322821744,M1,occurrence,351542,0.3019582297421076,3.7195427698566452,4.301479911106871
5,occurrence,75,gbdt,0.05,8651,129370,31812,0.24589935842931127,0.9969083320451384,0.9750328515111695,0.39651703759587575,4.054131488642008,3.9651703759587575,0.39651703759587575,0.8530366064823304,0.9213214809830588,0.09181701354976608,M1,occurrence,360193,0.30511420266357203,3.720309379395082,4.290740049026791
5,occurrence,75,gbdt,0.1,17546,129370,31812,0.24589935842931127,0.9967537486473953,0.9748782561644894,0.39645416823840063,4.053502843660051,3.9645416823840063,0.39645416823840063,0.8530025940644675,0.9224740244343894,0.09294162775392442,M1,occurrence,369088,0.3058051196462632,3.715389794839606,4.2910979986407485
5,occurrence,75,gbdt,0.2,31876,129370,31812,0.24589935842931127,0.9965991652496522,0.9767334003246503,0.3972086005281026,4.052874198678094,3.9720860052810263,0.3972086005281026,0.8548725520424549,0.9238843144973057,0.09198349877892688,M1,occurrence,383418,0.304923086553057,3.7194003295889426,4.2933203248313685
5,occurrence,75,logreg,0.0,0,129370,31812,0.24589935842931127,0.9969083320451384,0.9782020561181108,0.39780585942411667,4.054131488642008,3.9780585942411673,0.39780585942411667,0.8591193629978916,0.9268948877379652,0.09038500193985258,M1,occurrence,351542,0.3019582297421076,3.725103952456569,4.3051505982228475
5,occurrence,75,logreg,0.05,8651,129370,31812,0.24589935842931127,0.9969083320451384,0.978588544484811,0.3979630328178046,4.054131488642008,3.9796303281780463,0.3979630328178046,0.8588548128014369,0.926687509336349,0.08982863925597674,M1,occurrence,360193,0.30511420266357203,3.7244123498145254,4.306140198095093
5,occurrence,75,logreg,0.1,17546,129370,31812,0.24589935842931127,0.9969083320451384,0.978433949138131,0.3979001634603294,4.054131488642008,3.9790016346032946,0.3979001634603294,0.8590606818385658,0.9267874998279049,0.0898433010550616,M1,occurrence,369088,0.3058051196462632,3.723825731302494,4.305359667478194
5,occurrence,75,logreg,0.2,31876,129370,31812,0.24589935842931127,0.9969083320451384,0.9783566514647909,0.39786872878159185,4.054131488642008,3.9786872878159185,0.39786872878159185,0.8593701370533919,0.9270585218703251,0.08998445810695851,M1,occurrence,383418,0.304923086553057,3.7241273746581087,4.305520140590357
6,severity_labour,75,gbdt,0.0,0,20047,5655,0.2820870953259839,0.9501495513459621,0.8917705735660848,0.31618037135278515,3.368284360005748,3.1613306256904163,0.31618037135278515,0.7571073201795719,0.8747891856120087,0.22261357127806017,M1,severity_labour,489439,0.06344202239707093,2.955124254382282,3.3716016245691556
6,severity_labour,75,gbdt,0.05,1582,20047,5627,0.28069037761261034,0.9471585244267199,0.888279301745636,0.31650968544517505,3.37438900643015,3.164623273875025,0.31650968544517505,0.7545469112491088,0.874809708589974,0.22968230456445402,M1,severity_labour,491021,0.06416629838642339,2.946907180815379,3.3924927748949423
6,severity_labour,75,gbdt,0.1,3472,20047,5576,0.27814635606325133,0.9481555333998006,0.8942643391521197,0.3215566714490674,3.408836796640209,3.2150855823139426,0.3215566714490674,0.7570228331125581,0.8762369888939309,0.23105580640242807,M1,severity_labour,492911,0.06481900383639237,2.9931695394366344,3.4417719342628934
6,severity_labour,75,gbdt,0.2,3472,20047,5576,0.27814635606325133,0.9481555333998006,0.8942643391521197,0.3215566714490674,3.408836796640209,3.2150855823139426,0.3215566714490674,0.7570228331125581,0.8762369888939309,0.23105580640242807,M1,severity_labour,492911,0.06481900383639237,2.9931695394366344,3.4417719342628934
6,severity_labour,75,logreg,0.0,0,20047,5655,0.2820870953259839,0.9481555333998006,0.8763092269326683,0.3106984969053935,3.361215557571318,3.1065200835224056,0.3106984969053935,0.7477773877905927,0.8675640669317711,0.2211938188973555,M1,severity_labour,489439,0.06344202239707093,2.907512675714772,3.328339129224656
6,severity_labour,75,logreg,0.05,1582,20047,5627,0.28069037761261034,0.9461615154536391,0.8743142144638404,0.3115336769148747,3.370837018002329,3.114870633971319,0.3115336769148747,0.7458635574812893,0.867018852535588,0.2259575647164372,M1,severity_labour,491021,0.06416629838642339,2.9147843604354335,3.3402758230077647
6,severity_labour,75,logreg,0.1,3472,20047,5576,0.27814635606325133,0.9431704885343968,0.8743142144638404,0.31438307030129126,3.390914416005928,3.1433603044039833,0.31438307030129126,0.7444353651593454,0.8670922399392362,0.22723788450711693,M1,severity_labour,492911,0.06481900383639237,2.945369348015819,3.3756718828695265
