UniversityID,SystemCode,n_upm,n_ppm,upm_lab_median,ppm_lab_median,upm_lab_mean,ppm_lab_mean,lab_premium_median,lab_premium_mean,upm_cost_mean,ppm_cost_mean,cost_premium_mean
3,B20,169,1113,1.5,0.0,2.464497041420118,2.6237646001796944,,0.9392980762265531,428.5087399923011,488.27629620923614,0.8775948030225014
3,C10,6251,12057,1.5,1.5,5.044256918892978,3.4350377374139502,1.0,1.4684720531456283,589.571911286813,459.3386368238601,1.2835234487642124
3,C20,231,708,3.5,3.0,9.0995670995671,12.74223163841808,1.1666666666666667,0.7141266426307716,796.8202646102928,1662.7357398667014,0.4792224317462332
3,C30,1182,5834,3.75,5.0,11.277284263959391,19.053265341103874,0.75,0.591881972043435,1151.846066412058,2038.075973307844,0.5651634588197345
3,D10,64,485,1.0,0.0,3.703125,1.5340206185567011,,2.413999495967742,525.2337970153958,743.7800828868726,0.7061681390778553
3,D20,12019,26453,1.5,1.0,3.570554954655129,3.955170680074094,1.5,0.9027562255766521,408.94337489713536,506.3192617370263,0.8076788812935457
3,D30,9224,49232,2.0,1.5,5.9176875542064185,4.579992687682808,1.3333333333333333,1.2920735812791004,737.549052393494,551.6388944292411,1.337014231305439
3,D40,862,8529,2.0,2.0,6.161252900232019,7.0843885566889435,1.0,0.8696943781287494,769.9551082309362,754.168406337473,1.020932595108471
3,D50,8902,28131,2.0,1.5,4.2706807458997975,4.7192829974049975,1.3333333333333333,0.9049427102057932,492.0845370045569,570.877043320929,0.8619799005088431
3,E10,3598,21360,2.0,1.5,4.2730683713173985,3.7372926029962543,1.3333333333333333,1.143359331268738,629.1123552558415,598.5733357572251,1.0510196790840725
3,E20,475,2786,2.0,1.5,5.1478947368421055,5.371769562096195,1.3333333333333333,0.9583238218493632,669.9838566157129,651.9445428892739,1.0276700126156326
3,G20,150,471,0.0,0.0,1.22,5.855626326963907,,0.20834662799129805,21832.650765289083,2216.382178684842,9.850580362563713
4,B20,1974,1809,0.5,0.0,1.2598530901722391,0.007739082365948038,,162.79101715154147,282.58895011587015,77.42088027958489,3.650035353452136
4,B30,485,4539,0.0,1.0,2.5655670103092785,1.1859660718219873,0.0,2.1632718433233293,1740.1929698301585,106.28809237723486,16.37241699337224
4,D10,5017,9397,0.0,0.0,0.16002989834562487,0.029371075875279345,,5.448554183890713,169.07173896399698,21.600892619972353,7.827071868672313
4,D20,36110,11272,0.75,1.0,1.3236344502907782,1.5763839602555003,0.75,0.8396650078044714,213.26458419539307,287.0965719541579,0.7428322210320437
4,D30,18945,16037,1.0,0.5,2.490162048033782,1.0008106254286961,2.0,2.4881450943500165,484.82316796668186,245.84365979807703,1.972079200109899
4,D40,2001,23278,1.0,0.5,4.062468765617192,1.5609704441962369,2.0,2.602527665223673,736.4738033338801,171.13860615039246,4.303376192550527
4,D50,32384,22000,0.75,1.0,1.622160634881423,2.094774090909091,0.75,0.7743845228567998,237.62183797716756,195.9226780655133,1.2128347791250114
4,E10,6746,5222,0.25,0.5,1.1146590572190929,0.7424741478360781,0.5,1.5012765905287586,197.41756047575976,130.06590066046184,1.5178271897037796
4,E20,6164,61,0.5,8.0,1.5432608695652175,9.193442622950819,0.0625,0.1678653941574149,145.1614691706484,576.2137181020129,0.2519229664451498
5,B20,3342,7335,2.0,1.0,4.392309994015559,1.6938623040218133,2.0,2.593073819274861,130.19966574880817,104.0183954838991,1.2516984629796721
5,B30,2607,6235,6.0,7.0,10.546873801304182,13.253744987971132,0.8571428571428571,0.7957655599135445,192.7351123179136,434.0932386127539,0.4439947347114725
5,C10,25285,689,1.0,4.0,1.5561004548151078,5.859796806966618,0.25,0.265555360719178,58.59129532241435,304.4177332727358,0.1924700466444932
5,C30,6272,65,2.5,4.0,5.912723214285714,41.09846153846154,0.625,0.14386726395469468,142.86380591938766,595.6904680570088,0.23982892723694765
5,D10,587,304,2.0,4.0,3.0173764906303235,5.8365131578947365,0.5,0.5169827273581798,164.3604921702098,242.3417263687088,0.6782178811425355
5,D20,62857,46143,2.0,1.0,2.8718281177911766,3.544344754350606,2.0,0.8102564273032611,86.94617883374947,109.07057312475224,0.7971552394274354
