SystemCode,DescriptiveCode,ComponentDescription,n_upm,n_ppm,upm_lab_median,ppm_lab_median,upm_lab_mean,ppm_lab_mean,lab_premium_median,lab_premium_mean,upm_cost_mean,ppm_cost_mean,cost_premium_mean
D40,D4010FSS,Fire Sprinkler System,5023,73751,1.21,0.0,3.817884398433871,2.2609277148784424,,1.688636205974032,229.865873434807,88.48535720076812,2.597784319424227
D20,D2020PRV,Pressure Reducer Valve,496,305,2.0,1.0,4.602016129032258,2.7704918032786887,2.0,1.6610827447986254,221.0503945613853,225.6430428483742,0.9796463997780999
D30,D3020STB,"Steam Boiler, Gas Fired",1719,3720,1.5,0.24,4.032879581151832,2.4517499999999997,6.25,1.6448983710214469,288.7018192216193,217.7487150420532,1.3258485551378025
D20,D2040SWD,Storm Water & Drain Lift Station,408,1213,1.0,1.0,3.5870098039215685,2.1979389942291836,1.0,1.6319878819837452,196.49498541431367,298.09156250420796,0.6591766092391156
D50,D5090GEN,"Generator, Diesel/Propane",2465,33311,1.0,1.0,2.3808843813387424,1.460139293326529,1.0,1.6305871585131766,223.07583370975647,159.54366912091854,1.3982117556835598
B20,B2030WOE,"Wood, Exterior/Painted/Glazed",11884,11467,1.0,0.5,2.068426736227982,1.2741362169704369,2.0,1.6233952921816792,58.84401548571919,68.50422951141921,0.8589836847359954
C10,C1010MVP,"Movable Partitions, Office/Fabric",169,430,2.0,1.0,4.371301775147929,2.815813953488372,2.0,1.5524114331959113,404.55670903043904,232.56154817868727,1.7395683516846916
D30,D3050ACO,Air Conditioner,26051,55472,1.5,1.0,3.139758294627206,2.1869880299971154,1.5,1.4356540829495748,119.80457030172192,84.04675808795679,1.4254514157029565
E10,E1030VEH,General Vehicular Equipment,3736,22298,2.5,1.0,5.086753211991435,3.5892689927347745,2.5,1.4172114774032807,805.2283915951464,672.5186765892773,1.1973323858883966
D30,D3090OTH,General Other HVAC Systems & Equipment,6813,25686,1.5,1.0,3.42052595528157,2.4155874795608505,1.5,1.4160223896769888,105.69943690827675,134.9330544376626,0.7833472483727743
D30,D3050SCC,Secondary Coil,1432,1330,4.0,1.0,8.930935754189944,6.335984962406015,4.0,1.409557599517807,170.43832539720933,515.2730861000891,0.33077280765272216
D20,D2040PAF,Pipe & Fittings,1255,815,1.0,1.0,4.234844621513944,3.0198159509202456,1.0,1.402351895062822,40.4918467859091,365.39980094348397,0.11081518567157603
B20,B2020WOW,Wood Frame Operable Window,1935,475,2.0,1.0,3.867627906976744,2.763157894736842,2.0,1.3997129568106312,73.24758977248807,214.62544736235196,0.3412810115140924
D30,D3050UNH,Unit Heater,18185,17137,1.0,0.56,2.4020113646778483,1.791931493260197,1.7857142857142856,1.3404593723098681,76.81390975495913,140.25379319177222,0.5476779487163653
D10,D1010ELH,Elevator Hydraulic,1425,8833,1.0,0.5,1.1371157894736843,0.8582180459639986,2.0,1.324973058794647,131.85314819175753,179.0207866541552,0.7365242364088178
E20,E2020MFU,General Movable Furnishings,2816,5158,1.0,0.5,2.8241796874999996,2.15991921933566,2.0,1.3075394960227498,123.97497353702308,146.50668930649132,0.846206914673145
D30,D3020EXT,Expansion Tank,326,646,2.0,0.5,4.370061349693252,3.3437770897832815,4.0,1.3069236472268808,192.8994932130525,342.6471340463214,0.5629683544557971
D30,D3040SDM,Steel Damper,2797,2159,2.0,0.75,4.050557740436181,3.115479388605836,2.6666666666666665,1.3001394762071556,196.2968066142042,145.31407254484535,1.3508451258471548
E10,E1020ATL,"Autoclave, Top Loading Vertical",2246,4114,1.5,1.0,2.7262689225289405,2.1050145843461348,1.5,1.2951306574323718,55.551017416203265,154.84862653357837,0.35874401123058863
D10,D1090DRL,Dock Ramp Leveler,301,170,1.0,1.0,2.277906976744186,1.7970588235294118,1.0,1.2675750770753245,391.0498330992967,149.05894655036784,2.62345764644968
D30,D3040HUM,Humidifier,4060,2195,2.0,1.0,3.6734055829228245,2.9589840546697035,2.0,1.241441493111685,189.76295860434013,219.02976495610295,0.8663797755632512
D40,D4030FDO,Fire Doors,4018,9868,1.0,1.0,1.9709274929483989,1.6131728820429672,1.0,1.2217707815992798,58.17843659106167,109.2359740477813,0.5325941119508271
D30,D3020FWP,Feed Water Pump,172,474,1.0,0.5,3.322674418604651,2.8006962025316455,2.0,1.1863744506102345,94.11299656635839,97.94572146756934,0.960868888974594
E10,E1010FRZ,"Freezer/Cooler, Commercial/Reach-In",13309,6204,1.0,0.5,2.4537232950133996,2.072277562862669,2.0,1.1840707726545072,76.6696652969476,195.79009691087884,0.39159113002455204
E10,E1010KEH,Kitchen Exhaust Hood,1405,1664,1.0,0.5,2.221423487544484,1.9064242788461538,2.0,1.1652303803479573,98.30661866136217,428.62027891434496,0.2293559672686594
E10,E1020SGE,"Steam Generator, Autoclave",579,3623,1.0,1.0,2.1609671848013816,1.907165332597295,1.0,1.133078054569314,11.131932965795636,17.624594401040273,0.6316135686582715
D30,D3050HTP,Heat Pump,3233,2612,1.5,1.0,3.775954222084751,3.3582082695252677,1.5,1.124395486828617,331.9210568375941,247.27333895051143,1.3423244828833885
D20,D2020FCV,"Flow Control Valve, Motorized",172,321,2.0,2.0,5.411337209302325,4.892367601246106,1.0,1.1060773944958746,747.3011329814864,362.30491853873957,2.0626303832570825
E10,E1020SEL,"Sink, Epoxy Resin, Laboratory",727,259,1.0,1.0,2.0683402109124254,1.8787644787644788,1.0,1.1009044690224377,79.7527550202885,126.34140970911118,0.6312479432033525
B20,B2020GBW,Glass Block Window,1425,153,1.0,1.0,1.7882456140350877,1.6316993464052287,1.0,1.095940632675219,65.90669055960146,557.3891840997366,0.11824178229444873
G40,G4020PEX,"Pole Light, Exterior",2146,1603,2.0,2.0,4.018786890338614,3.6814098565190267,1.0,1.0916434319917303,103.18386420016834,297.18207784672825,0.3472075602532985
D20,D2040ROD,Roof Drain,1502,1343,2.0,1.5,5.381948513093652,5.0290394638868205,1.3333333333333333,1.070174245348649,419.0218383649587,397.690643755275,1.0536376576734607
D30,D3020PIN,Pipe Insulation,772,897,2.0,1.0,5.44956390328152,5.093552582683018,2.0,1.0698945018863384,71.58411652182328,217.3626151751769,0.3293303977969358
E10,E1010ICE,Icemaker,3999,3241,1.5,1.0,2.2858589647411853,2.1708299907435977,1.5,1.0529884765219157,56.07663902920074,104.17308923078976,0.5383025447672578
B30,B3020ROH,"Roof Hatch, Aluminum",434,376,1.5,1.0,3.4073041474654375,3.24468085106383,1.5,1.0501199667598398,142.7109868427007,167.14229985475586,0.8538292638471194
D30,D3060HVA,HVAC Control Panel,69991,14903,1.75,1.0,3.7787924637929646,3.6345872195754767,1.75,1.0396758243799502,209.2482476770093,214.17750653785203,0.9769851701958647
E10,E1090OEQ,General Other Equipment,4311,12358,1.0,0.5,3.917337044769195,3.770426714139289,2.0,1.038963847269325,129.19787475015457,294.36282776599387,0.43890689504063835
D30,D3030COT,Cooling Tower,3309,5726,2.5,1.0,5.794599576911454,5.622224938875306,2.5,1.0306595057846675,262.2522595440378,100.986476060882,2.5969047517405506
D20,D2020PIN,Pipe Insulation,458,233,3.0,2.0,6.365720524017467,6.281115879828326,1.5,1.013469683700765,399.91553647860303,582.976330639411,0.6859893197378595
E10,E1020DCS,Dust Collection System,133,531,1.5,1.0,3.1962406015037597,3.1713747645951034,1.5,1.0078407122318862,364.5012125453447,214.44648154977295,1.6997304404863556
D20,D2010DRF,Drinking Fountain,14773,10108,1.0,1.0,2.4185387756943975,2.4161614562722593,1.0,1.0009839240734375,80.10939803473848,146.08488866669785,0.5483756654496501
D30,D3030PIN,Pipe Insulation,471,510,2.0,1.0,4.004670912951168,4.0222549019607845,2.0,0.9956283255442004,29.47799041836643,476.94419681444987,0.06180595259414496
D50,D5090MRE,"Meter, Electrical",603,3559,1.0,1.0,2.4632835820895527,2.5014489088695324,1.0,0.9847427118560548,99.36220605677012,111.35727725416625,0.8922830057166529
D30,D3040DEH,Dehumidifier & Control,721,779,1.25,1.0,2.7752565880721223,2.8370261018399656,1.25,0.9782273720612643,149.5216939280127,152.80366135933286,0.978521670213109
E10,E1010CFB,Coffee Brewer,207,156,1.0,1.0,2.857487922705314,2.9246794871794872,1.0,0.977026007544173,184.58142891795103,220.42612649932673,0.837384532629415
D50,D5010CBE,Circuit Breaker,10855,5218,1.0,0.5,2.090266236757255,2.1786527405136065,2.0,0.9594306600071038,109.81286131848614,137.32419058297958,0.7996614496855933
D20,D2020CVL,Check Valve,201,106,3.0,2.5,6.802935323383084,7.172169811320755,1.2,0.9485184403533139,348.11001079787087,540.1273611480326,0.6444961611608941
D50,D5030ASR,Alarm Siren,9649,4078,1.0,0.75,2.4459909489757146,2.6175085826385485,1.3333333333333333,0.9344729431641682,139.1185356143454,201.63727428286418,0.6899445358460103
D50,D5030CSS,Camera Security System,488,312,2.0,2.0,4.636065573770491,4.9653205128205125,1.0,0.9336890864950447,426.0678448002407,124.71080890114997,3.4164468064508875
D50,D5090UPS,Uninterruptible Power Supply,293,1732,1.5,3.0,3.4324232081911266,3.702280600461894,0.5,0.9271104971791981,147.5638148906552,255.7727662718332,0.5769332561928254
E20,E2010FFU,General Fixed Furnishings,35287,19876,1.0,1.0,3.155518085036038,3.4113533910243508,1.0,0.9250047483613267,86.79070647076428,159.3445421071401,0.5446732302409701
D50,D5030KEY,Keypad,3868,871,0.5,1.0,1.2256058255773872,1.3310562571756601,0.5,0.9207768784904509,57.266246977773605,97.77701454317031,0.5856820976313357
D20,D2020WSF,Water Softener,2223,13527,1.0,1.0,2.9628639976008397,3.306265247283212,1.0,0.896136206868294,107.22115885890548,120.76496768100301,0.8878498534618657
D20,D2020WST,Water Storage Tank,626,936,1.5,0.5,3.174696485623003,3.5525320512820513,3.0,0.8936433056183988,237.66977865058308,319.2089374187161,0.7445586598310823
D50,D5020CFL,"Compact Fluorescent Lighting Fixture, Ballast",24191,8750,1.0,0.75,2.095307070122497,2.377742095238095,1.3333333333333333,0.8812171321350492,65.42808485776078,164.9514506003665,0.39665055760119156
D20,D2030PAF,Pipe & Fittings,20256,7510,1.0,0.5,3.0092267311743024,3.42790412782956,2.0,0.8778619876628957,132.50552538704628,382.4540776294128,0.3464612698297347
D30,D3030ECO,"Evaporative Cooler, Direct/Indirect",707,497,1.5,1.0,2.903611504007544,3.3319919517102616,1.5,0.8714341289201385,49.97203070246944,250.29174990971,0.19965512535070093
C10,C1020DRH,Door Hardware,132400,46697,1.0,0.75,2.087346525679758,2.4026562605734845,1.3333333333333333,0.868766190125563,93.47931276621168,179.9109026877569,0.5195867030273815
E10,E1020VAC,Vacuum Pump,1148,5491,1.5,1.0,3.696881533101045,4.256264796940449,1.5,0.868574139409393,179.19645142780075,208.2154165461563,0.8606300839788069
B20,B2010CON,"Concrete, Exterior/Painted",1711,2129,1.5,1.0,4.576982271576076,5.35955847815876,1.5,0.8539849486162276,98.6286418076852,200.30653242723778,0.49238854376111013
D30,D3040VEN,Ventilator,13665,4181,1.75,1.5,2.833797292352726,3.4361109782348724,1.1666666666666667,0.8247106424392746,135.47879612795998,218.96420502482925,0.6187257689566086
D30,D3020PAF,Pipe & Fittings,19153,8684,2.0,1.0,4.295573887467586,5.2810720750806075,2.0,0.8133905060180456,144.80524214066097,194.55907395591547,0.7442739071294713
C30,C3010CIW,Concrete Interior Wall Finish,17310,21206,1.5,1.75,6.516490082803774,8.364182306894275,0.8571428571428571,0.779094697330124,145.8784268232172,362.2041286952288,0.4027519712398541
D50,D5020REC,Receptacle,17046,6874,1.0,1.5,2.245083890648832,2.8851081369411307,0.6666666666666666,0.7781628223575462,102.53357053734291,159.60478065488027,0.6424216750690902
D30,D3020HEX,Heat Exchanger,4371,4048,1.0,1.0,3.9913330282925346,5.209790019762846,1.0,0.7661216696165852,293.80184324248245,589.2315219092877,0.4986186792764853
B20,B2030ALD,"Aluminium Double, Painted/Roll-up",719,164,1.5,1.0,2.3623783031988874,3.0929878048780486,1.5,0.763785198077117,5.241226933285168,5.34464614831866,0.9806499416119391
D50,D5030ISB,Intercom Substation,242,282,0.225,0.5,1.275206611570248,1.695921985815603,0.45,0.7519252785422058,92.34852989229131,115.03841479745074,0.8027625385388896
D20,D2030FLD,Floor Drain,13664,3367,2.0,2.0,3.092547570257612,4.143210573210573,1.0,0.7464133226183571,152.44154384110038,283.7707504026761,0.5371996360610913
D20,D2010UVC,"Urinal, Vitreous China",16182,2135,1.5,1.5,2.0138359494088083,2.734285714285714,1.0,0.7365126251756353,88.95347796854828,188.1219353410013,0.4728501107927993
C30,C3010WOP,"Wood Interior Paneling, Finished",376,243,1.0,1.0,2.0132978723404253,2.742798353909465,1.0,0.7340305821136135,6.310220101315683,74.26611562794825,0.08496768745692934
B20,B2030STD,"Steel Double, Painted/Roll-up",126,161,1.0,1.5,1.5952380952380953,2.1801242236024843,0.6666666666666666,0.7317188983855651,86.53624344643974,175.97475695015729,0.49175373187729465
D50,D5020FLF,Fluorescent Lighting Fixture,98098,47167,1.0,1.0,2.458986523680401,3.361669670179009,1.0,0.7314777372368833,101.01032715799985,234.13474032909966,0.4314196475756643
D50,D5030SMD,Smoke Detector,7796,51424,1.0,1.5,2.1209184197024116,2.9480549937772245,0.6666666666666666,0.7194297339022716,111.97569602918257,9.693775339543487,11.551298860043097
D50,D5010PPB,Power Panel Board,2094,2706,1.0,2.0,2.400329512893983,3.3536400591278643,0.5,0.7157385618533565,47.96283410174727,241.7376052475211,0.19840865906087282
D30,D3060THE,Thermostat,59498,6234,2.0,1.5,2.6174582899145067,3.6600898299647096,1.3333333333333333,0.71513498616501,127.6486539710205,361.2493002676729,0.3533533597890359
D30,D3060MET,"Meter, Natural Gas",114,1303,1.95,2.0,4.6798245614035086,6.588050652340752,0.975,0.710350422054019,441.91421070008965,313.04540497406293,1.4116617068271742
E10,E1010DGE,"Disposal, Garbage, Electric",3181,428,0.75,0.5,1.077915749764225,1.5210280373831775,1.5,0.708675792471718,94.67331271780638,356.7380296110987,0.26538609528402507
B30,B3010COR,Concrete Roof,10561,4690,2.0,3.0,5.083290723731969,7.314968102345416,0.6666666666666666,0.6949163212484961,208.06864522319995,353.02996832226444,0.5893795538436098
G30,G3010FHY,Fire Hydrant,698,897,1.0,1.0,4.109527220630373,5.922173913043479,1.0,0.6939220767527976,103.2276479456806,310.8194193126083,0.3321145383193025
D50,D5020OCS,Occupancy Sensors,1399,569,1.5,1.75,2.553459614010007,3.696836555360281,0.8571428571428571,0.6907147707970972,96.9808303155309,302.98047567683443,0.32008937242204594
D30,D3040DCW,Ductwork,3181,1589,2.0,2.0,3.486753641412554,5.054820641913153,1.0,0.6897878062183596,134.46687459763422,318.53005423739637,0.42214815465236377
D50,D5030HDA,Handicap Door Access Interface,6313,1428,1.0,1.0,1.9718380062305296,2.859908963585434,1.0,0.6894757949772148,116.92892164583343,341.62228159782944,0.34227545433786
E10,E1010APP,Appliances,14430,7763,1.0,1.5,1.7786382536382537,2.5941053716346776,0.6666666666666666,0.6856461087073897,116.83695360021143,309.15411516433755,0.3779246268098493
E10,E1010MIO,Microwave Oven,2665,1526,0.75,1.0,1.3933358348968103,2.0759829619921364,0.75,0.6711692053386362,83.2845659450424,202.37573447340932,0.41153434803709327
