A,B,elig,cooc,P_B_given_A,baseline_B,risk_ratio,A_desc,B_desc
F10,G20,66,6,0.09090909090909091,0.06396951516134262,1.4211314667588433,Special Construction,Site Improvements
D40,B30,1155,107,0.09264069264069263,0.06683933715675133,1.3860205169813709,Fire Protection,Roofing
B30,E20,609,90,0.1477832512315271,0.10695574391958086,1.3817233728245966,Roofing,Furnishings
G20,B30,208,19,0.09134615384615384,0.06683933715675133,1.3666525990814244,Site Improvements,Roofing
D10,F10,82,6,0.07317073170731707,0.05384880911287539,1.3588180112570356,Conveying,Special Construction
D20,G30,569,18,0.03163444639718805,0.02373678025851939,1.332718509109259,Plumbing,Site Mechanical Utilities
D50,G40,231,2,0.008658008658008658,0.006645817044566067,1.3027756557168322,Electrical,Site Electrical Utilities
F20,C30,51,11,0.21568627450980393,0.18384975296927658,1.1731659739888125,Selective Building Demolition,Interior Finishes
G20,E10,259,54,0.2084942084942085,0.18214955586226422,1.1446319893959296,Site Improvements,Equipment
B30,D40,772,102,0.13212435233160622,0.13421561338289964,0.9844186455019407,Roofing,Fire Protection
D40,G30,91,2,0.02197802197802198,0.02373678025851939,0.9259057773909259,Fire Protection,Site Mechanical Utilities
D30,G40,184,1,0.005434782608695652,0.006645817044566067,0.8177749360613811,HVAC,Site Electrical Utilities
D50,G30,419,8,0.01909307875894988,0.02373678025851939,0.8043668328646707,Electrical,Site Mechanical Utilities
D20,G40,192,1,0.005208333333333333,0.006645817044566067,0.7837009803921569,Plumbing,Site Electrical Utilities
C20,B30,157,8,0.050955414012738856,0.06683933715675133,0.7623566627125345,Stairs,Roofing
C30,G30,172,3,0.01744186046511628,0.02373678025851939,0.7348031314759382,Interior Finishes,Site Mechanical Utilities
D30,G30,482,8,0.016597510373443983,0.02373678025851939,0.6992317489010312,HVAC,Site Mechanical Utilities
E20,F20,71,1,0.014084507042253521,0.039051269765213226,0.3606670699040871,Furnishings,Selective Building Demolition
E10,G30,213,1,0.004694835680751174,0.02373678025851939,0.19778738437224005,Equipment,Site Mechanical Utilities
C10,G30,309,1,0.003236245954692557,0.02373678025851939,0.13633887660610722,Interior Construction,Site Mechanical Utilities
C10,G40,151,0,0.0,0.006645817044566067,0.0,Interior Construction,Site Electrical Utilities
B30,G30,81,0,0.0,0.02373678025851939,0.0,Roofing,Site Mechanical Utilities
E10,G40,107,0,0.0,0.006645817044566067,0.0,Equipment,Site Electrical Utilities
B20,D90,639,0,0.0,0.0,,Exterior Enclosure,General
B30,D90,227,0,0.0,0.0,,Roofing,General
C10,D90,2718,0,0.0,0.0,,Interior Construction,General
C20,D90,145,0,0.0,0.0,,Stairs,General
C30,D90,1339,0,0.0,0.0,,Interior Finishes,General
D10,D90,208,0,0.0,0.0,,Conveying,General
